Song,Type,Cover Artist,Total Plays,First Played,First Venue,First City,Last Played,Last Venue,Last City,Shows Played,Shows Since Last Play,Gap Status,Previous Gap,Average Shows Between Plays,Longest Gap,Venues Played,Cities Played
"Lil' Did He Know","Original","",2,"10/08/2025","The Warehouse","Amityville","12/27/2025","Sayville Theater","Sayville",2,25,"Bust Out",0,4,4,2,2
"Minglewood Blues","Cover","Cannon’s Jug Stompers",2,"08/14/2023","89 North","Patchogue","01/10/2026","Blue Point Brewery","Patchogue",2,23,"Regular",0,86,86,2,1
"No One to Run With","Cover","The Allman Brothers Band",2,"08/14/2023","89 North","Patchogue","10/22/2023","Jamesport Farm Brewery","Riverhead",2,104,"Monster Gap",0,5,5,2,2
"Paranoid","Cover","Black Sabbath",2,"09/15/2023","Blue Point Brewery","Patchogue","07/19/2025","Blue Point Brewery","Patchogue",2,41,"Bust Out",0,66,66,1,1
"Rock and Roll Part 2","Cover","Gary Glitter",2,"02/27/2026","People's Pub","Bayport","08/28/2026","Nietzsche's","Buffalo",2,2,"Regular",0,16,16,2,2
"Sunshine Daydream jam","Original","",2,"03/28/2025","Beau’s Bar","Greenlawn","10/08/2025","The Warehouse","Amityville",2,30,"Bust Out",0,20,20,2,2
"Tea Time with Brady","Original","",2,"10/02/2023","Beach Club Estate","Lake Ronkonkoma","08/02/2025","Ophelia's","Albany",2,38,"Bust Out",0,67,67,2,2
"The Howling","Cover","Phish",2,"02/29/2024","Birdies","Patchogue","01/18/2025","Mr. Beery's","Bethpage",2,56,"Monster Gap",0,34,34,2,2
"The Other One jam","Original","",2,"12/01/2023","Blue Point Brewery","Patchogue","02/29/2024","Birdies","Patchogue",2,91,"Monster Gap",0,7,7,2,1
"Thrill Is Gone","Cover","B.B. King",2,"06/27/2024","Stella Blues","New Haven","04/09/2026","89 North","Patchogue",2,15,"Regular",0,63,63,2,2
"Time","Cover","Pink Floyd",2,"10/31/2024","Sayville Theater","Sayville","11/26/2025","The Warehouse","Amityville",2,26,"Bust Out",0,35,35,2,2
"Wilson intro","Original","",2,"05/20/2023","Blue Point Brewery","Patchogue","01/27/2024","Blue Point Brewery","Patchogue",2,95,"Monster Gap",0,23,23,1,1
"You Sexy Thing (Reprise)","Original","",2,"11/25/2023","Industry Lounge & Gallery","Huntington","02/29/2024","Birdies","Patchogue",2,91,"Monster Gap",0,8,8,2,2
"""Heroes""","Cover","David Bowie",1,"11/30/2024","Industry Lounge & Gallery","Huntington","11/30/2024","Industry Lounge & Gallery","Huntington",1,60,"Monster Gap",0,0,0,1,1
"(A Swingin') Birthday Announcment","Original","",1,"01/27/2024","Blue Point Brewery","Patchogue","01/27/2024","Blue Point Brewery","Patchogue",1,95,"Monster Gap",0,0,0,1,1
"(Stella Break)","Original","",1,"05/04/2024","Thatch Meadow Farm","Saint James","05/04/2024","Thatch Meadow Farm","Saint James",1,87,"Monster Gap",0,0,0,1,1
"46 Days","Cover","Phish",1,"03/13/2026","Blue Point Brewery","Patchogue","03/13/2026","Blue Point Brewery","Patchogue",1,17,"Regular",0,0,0,1,1
"A Pirate Looks at Forty","Cover","Jimmy Buffett",1,"02/29/2024","Birdies","Patchogue","02/29/2024","Birdies","Patchogue",1,91,"Monster Gap",0,0,0,1,1
